1606383378 196427 0
1606392434 196427 243719
1606394168 357291 243719
1606405697 675374 243719
1606412903 675374 245133
1606581463 675374 245380
1606602065 675804 245380
1606602164 675804 245380
1606668257 675865 245380
1606669864 675865 245554
1606671444 675869 245554
1606671472 675869 245554
1606674563 675869 245621
1606675016 675869 245621
1606753323 675869 245883
1606756630 675869 245926
1606757817 675997 245926
1606758134 675997 245926
1606763912 675997 245943
1606771283 676072 245943
1606771305 676072 245943
1606821566 676145 245943
1606822103 676230 245943
1606824989 676262 245943
1606839927 676262 246311
1606840420 676262 246312
1606841166 676262 246316
1606842986 676286 246316
1606847685 676304 246316
1606852829 676318 246316
1606861931 676318 246666
1606894782 676345 246666
1606895093 676345 246666
1606899219 676391 246666
1606901217 676405 246666
1606901448 676405 246938
1606902051 676405 246938
1606902097 676405 246965
1606902107 676405 246986
1606902765 676405 247236
1606906623 676405 247236
1606906918 676405 247236
1606907670 676405 247458
1606909217 676407 247458
1606910755 676407 247459
1606910759 676407 247459
1606912742 676407 247544
1606923543 676407 247764
1606925054 676407 247764
1606925207 676542 247764
